No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
195,"3-metil-1,2-butadieno",C5H8,6.9435,1103.901,230.89,-20,62
196,"2-metil-1,3-butadieno",C5H8,6.88564,1071.578,233.513,-18,55
197,1-pentina,C5H8,6.9673,1092.52,227.19,-43,62
198,2-pentina,C5H8,7.04614,1189.87,229.6,-33,78
199,3-metil-1-butano,C5H8,6.8848,1014.81,227.11,-55,47
200,Ciclopenteno,C5H8,6.9207,1121.81,233.46,-29,105
201,Espiropentano,C5H8,6.917,1090.08,231.1,3,71
202,1-penteno,C5H10,6.8465,1044.895,233.516,-55,51
203,"2-penteno,cis",C5H10,6.87274,1067.951,230.585,-49,58
204,"2-penteno,trans",C5H10,6.90575,1083.987,232.965,-49,58
205,2-metil-1-buteno,C5H10,6.87314,1053.78,232.788,-53,52
206,3-metil-1-buteno,C5H10,6.82618,1013.474,236.816,-63,41
207,2-metil-2-buteno,C5H10,6.91562,1095.088,232.842,-48,60
208,Ciclopentano,C5H10,6.88676,1124.162,231.361,-40,72
209,"2,3-dibromo-2-metilbutano",C5H10BR2,7.36735,1695.9,207,81,218
210,Valeraldehído,C5H10O,7.0192,1316,215.01,4,139
211,2-pentanona,C5H10O,6.95,1274.6,210.91,2,137
212,Tiaciclohexano,C5H10S,6.90518,1422.47,211.72,29,170
213,Ciclopentanethiol,C5H10S,6.91497,1388.63,212.05,81,173
214,1-bromopentano,C5H11BR,6.9558,1401.634,214.38,41,173
215,1-cloropentano,C5H11CL,6.96617,1332.89,218.5,24,148
216,1-cloro-3-metilbutano,C5H11CL,6.79527,1258.5,223,39,124
217,2-cloro-2-metilbutano,C5H11CL,6.95902,1258.5,223,7,123
218,Pentano,C5H12,6.87632,1075.78,233.205,-50,58
219,2-metilbutano(isopentano),C5H12,6.83315,1040.73,235.445,-57,49
220,"2,2-dimetilpropano",C5H12,6.60427,883.42,227.782,-13,29
221,Metil-terc-butil-éter,C5H12O,5.896,708.69,179.9,2,80
222,Alcohol-pentílico,C5H12O,7.1776,1314.56,168.16,37,138
223,Terc-pentil-alcohol,C5H12O,7.8753,1604.7,208.16,55,133
224,Butil-metil-sulfuro,C5H12S,6.94583,1363.808,212.074,17,150
225,Etil-propil-sulfuro,C5H12S,6.9338,1341.57,212.51,14,145
226,2-metil-2-butanotiol,C5H12S,6.82837,1254.885,218.759,-3,125
227,1-pentanethiol,C5H12S,6.93311,1369.479,211.314,20,153
228,Hexaclorobenceno,C6CL6,9.78602,4597.57,355.961,114,309
229,Hexafluorobenceno,C6F6,7.033,1227.98,215.5,-3,117
230,o-diclorobenceno,C6H4CL2,7.0703,1649.55,213.32,58,210
231,m-diclorobenceno,C6H4CL2,7.3037,1782.4,230.01,53,202
232,p-diclorobenceno,C6H4CL2,6.998,1575.11,208.52,54,204
233,m-difluorobenceno,C6H4F2,7.06582,1310.27,222.58,36,114
234,o-difluorobenceno,C6H4F2,7.02031,1310.271,222.587,31,130
235,p-difluorobenceno,C6H4F2,7.08812,1310.27,222.58,34,112
236,Bromobenceno,C6H5BR,6.8606,1438.82,205.45,47,177
237,Clorobenceno,C6H5CL,6.9781,1431.05,217.56,47,147
238,Fluorobenceno,C6H5F,7.187,1381.83,235.57,-23,97
239,Yodobenceno,C6H5I,7.0119,1640.13,208.78,17,197
240,Benceno,C6H6,6.90565,1211.033,220.79,-16,104
241,Fenol,C6H6O,7.1345,1516.07,174.57,72,208
242,Benzotiol,C6H6S,6.99019,1529.454,203.048,52,198
243,2-picolina,C6H7N,7.0324,1415.73,211.58,79,169
244,3-picolina,C6H7N,7.0502,1481.77,211.21,74,185
245,Anilina,C6H7N,7.2418,1675.3,200.01,67,227
246,1-hexina,C6H10,6.91212,1194.6,225,-8,118
247,Ciclohexeno,C6H10,6.8724,1221.9,223.18,27,87
248,1-metilciclopenteno,C6H10,6.86884,1199.6,225,-5,130
249,3-metilciclopenteno,C6H10,6.87259,1165.6,227,-10,119
250,4-metilciclopenteno,C6H10,6.87015,1197.6,225,-2,130
251,Ciclohexanona,C6H10O,6.97851,1495.58,209.559,90,166
252,1-hexeno,C6H12,6.86572,1152.971,225.849,-29,87
253,"2-hexeno,cis",C6H12,7.03805,1258.571,233.851,-25,92
254,"2-hexeno,trans",C6H12,6.89342,1173.343,224.53,-25,91
255,"3-hexeno,cis",C6H12,6.87854,1164.134,224.749,-27,90
256,"3-hexeno,trans",C6H12,6.9178,1180.707,225.384,-26,90
257,2-metil-1-penteno,C6H12,6.8503,1138.516,224.704,-30,85
258,3-metil-1-penteno,C6H12,6.75523,1086.316,226.204,-37,77
259,4-metil-1-penteno,C6H12,6.83529,1121.302,229.687,-38,77
260,2-metil-2-penteno,C6H12,6.92367,1183.837,225.514,-26,90
261,"3-metil-2-penteno,cis",C6H12,6.91073,1186.402,226.696,-26,91
262,"3-metil-2-penteno,trans",C6H12,6.92634,1194.527,224.833,-23,94
263,"4-metil-2-penteno,cis",C6H12,6.84129,1120.707,226.586,-35,79
264,"4-metil-2-penteno,trans",C6H12,6.8803,1142.874,227.143,-33,81
265,2-etil-1-buteno,C6H12,6.99712,1218.352,231.3,-28,88
266,"2,3-dimetil-1-buteno",C6H12,6.86236,1134.675,229.367,-36,78
267,"3,3-dimetil-1-buteno",C6H12,6.67751,1010.516,224.909,-47,64
268,"2,3-dimetil-2-buteno",C6H12,6.95058,1215.428,225.443,-21,97
269,Ciclohexano,C6H12,6.8413,1201.531,222.647,6,105
270,Metilciclopentano,C6H12,6.86283,1186.059,226.042,-24,96
271,Ciclohexanol,C6H12O,6.2553,912.87,109.13,94,161
272,Hexanal,C6H12O,6.71442,1316,215.01,64,156
273,Tiacicloheptano,C6H12S,6.90523,1422.47,211.72,78,169
274,Hexano,C6H14,6.87024,1168.72,224.21,-25,92
275,2-metilpentano,C6H14,6.8391,1135.41,226.572,-32,83
276,3-metilpentano,C6H14,6.81887,1152.368,227.129,-29,89
277,"2,2-dimetilbutano",C6H14,6.75483,1081.176,229.343,-41,73
278,"2,3-dimetilbutano",C6H14,6.80983,1127.187,228.9,-35,81
279,Propil-éter,C6H14O,6.9476,1256.5,219,26,89
